f, RPR, RBV, F_last, Recl_last
76655,0.842656,0.866003,0.110803,334369
76655,0.842656,0.866003,0.110803,334369
76654.8,0.842656,0.866003,0.110803,334370
76652.8,0.842656,0.866003,0.110803,334382
76632.8,0.842656,0.866004,0.110803,334499
76435.4,0.842663,0.86601,0.110805,335677
74689.2,0.842725,0.866074,0.110823,347682
70813,0.844413,0.86781,0.110621,347274
38314.8,0.859371,0.883181,0.108619,343219
226712,0.883794,0.908281,0.0815631,681989
38321.2,0.862015,0.885899,0.105706,366343
36796.5,0.860616,0.884461,0.107247,353842
37694.3,0.869837,0.893938,0.0933137,374593
36205.2,0.864344,0.888293,0.10161,361751
34586.7,0.878085,0.902414,0.0899573,405693
171349,0.958912,0.985481,0.0274812,1.26724e+06
32973.5,0.891262,0.915956,0.0790755,458107
79707.7,0.941308,0.967389,0.0405336,857073
32617.3,0.897245,0.922105,0.074279,485509
31976.1,0.907309,0.932448,0.066673,531990
31664.4,0.922634,0.948197,0.0554642,628814
32685,0.927738,0.953443,0.0513076,683132
31598.7,0.92378,0.949375,0.0545258,640317
31521.1,0.925068,0.950699,0.0536828,650904
31430.9,0.925891,0.951545,0.0531059,661308
32730.5,0.924809,0.950433,0.0542077,673075
31425.2,0.925828,0.95148,0.0531738,662034
31441.3,0.925911,0.951565,0.0530254,662803
31424.1,0.925845,0.951497,0.0531433,662192
31424.2,0.925893,0.951547,0.053176,662249
31423.5,0.925868,0.951521,0.0531588,662219
31422.5,0.925868,0.951521,0.0531634,662215
31412.6,0.925866,0.951519,0.0532093,662172
31390.8,0.925859,0.951512,0.053224,662096
31175.6,0.925785,0.951435,0.0533706,661336
29291.4,0.925026,0.950656,0.0548608,653783
25225.3,0.923845,0.949442,0.0565559,638492
2945.79,0.909188,0.934378,0.0768337,503769
474806,0.921261,0.946786,0.0595171,357388
2225.93,0.90979,0.934998,0.0762107,498312
46537,0.920954,0.946471,0.0675489,490256
2215.78,0.90997,0.935183,0.0760832,498200
3733.42,0.912865,0.938158,0.0756087,497797
2215.71,0.90999,0.935203,0.0760801,498197
2215.69,0.910014,0.935228,0.0760637,498199
2215.65,0.910014,0.935228,0.0760634,498199
2215.27,0.91002,0.935234,0.0760595,498198
2211.84,0.910073,0.935289,0.0760212,498185
2204.16,0.910082,0.935298,0.0760273,498153
2130.64,0.910175,0.935393,0.0760883,497834
1729.6,0.911088,0.936331,0.0767018,494659
1194.68,0.909922,0.935133,0.0777165,490363
80804.3,0.913249,0.938552,0.0953033,483133
1191.31,0.910014,0.935228,0.0778123,490319
1666.94,0.911796,0.937059,0.0771374,490181
1191.29,0.910027,0.935242,0.0778076,490318
1191.24,0.91003,0.935244,0.0778078,490318
1191.16,0.910031,0.935245,0.0778082,490318
1190.34,0.910044,0.935259,0.0778127,490318
1182.43,0.910174,0.935392,0.0778573,490319
1130.43,0.911451,0.936705,0.0783049,490333
1038.87,0.910609,0.93584,0.0777681,490355
5810.04,0.877043,0.901343,0.113599,489385
1037.2,0.910131,0.935348,0.0783022,490338
2222.23,0.905613,0.930705,0.112656,489608
1037.2,0.910126,0.935343,0.0783418,490337
1037.19,0.910125,0.935342,0.0783415,490336
1037.16,0.910109,0.935326,0.0783378,490331
1037.07,0.910107,0.935323,0.0783367,490321
1036.25,0.910079,0.935295,0.0783259,490225
1028.74,0.909803,0.935011,0.0782183,489258
1012.55,0.909413,0.93461,0.0785829,487228
917.469,0.905425,0.930512,0.0823264,467388
95421.4,0.865634,0.889618,0.0614884,442317
917.348,0.905412,0.930498,0.0823012,467361
948.318,0.905309,0.930392,0.0809717,467314
917.347,0.905412,0.930498,0.082296,467361
917.346,0.905412,0.930498,0.0822959,467360
917.337,0.905411,0.930497,0.0822951,467358
917.249,0.905408,0.930494,0.0822865,467335
